machine_id,plant_id,machine_name,machine_type,commission_date
MAC-0001,PLT-002,Machine 1,Press,2026-05-17
MAC-0002,PLT-003,Machine 2,Robot,2026-05-18
MAC-0003,PLT-004,Machine 3,CNC,2026-05-19
MAC-0004,PLT-005,Machine 4,Press,2026-05-20
MAC-0005,PLT-001,Machine 5,Robot,2026-05-21
MAC-0006,PLT-002,Machine 6,CNC,2026-05-22
MAC-0007,PLT-003,Machine 7,Press,2026-05-23
MAC-0008,PLT-004,Machine 8,Robot,2026-05-24
MAC-0009,PLT-005,Machine 9,CNC,2026-05-25
MAC-0010,PLT-001,Machine 10,Press,2026-05-26
MAC-0011,PLT-002,Machine 11,Robot,2026-05-27
MAC-0012,PLT-003,Machine 12,CNC,2026-05-28
MAC-0013,PLT-004,Machine 13,Press,2026-05-29
MAC-0014,PLT-005,Machine 14,Robot,2026-05-30
MAC-0015,PLT-001,Machine 15,CNC,2026-05-31
MAC-0016,PLT-002,Machine 16,Press,2026-06-01
MAC-0017,PLT-003,Machine 17,Robot,2026-06-02
MAC-0018,PLT-004,Machine 18,CNC,2026-06-03
MAC-0019,PLT-005,Machine 19,Press,2026-06-04
MAC-0020,PLT-001,Machine 20,Robot,2026-06-05
